cvc5+z3-runtime,Tool-runtime,cvc5-runtime,z3-runtime,z3strRE-runtime,z3str4-runtime,ostrich-runtime
0.0,0.0,0.0,0.0,0.0,0.0,1.6
0.0,0.0,0.0,0.0,0.0,0.0,3.23
0.0,0.0,0.0,0.0,0.0,0.0,4.859999999999999
0.0,0.0,0.0,0.0,0.0,0.0,6.489999999999999
0.0,0.0,0.0,0.0,0.0,0.0,8.139999999999999
0.0,0.0,0.0,0.0,0.0,0.0,9.799999999999999
0.0,0.0,0.0,0.0,0.0,0.0,11.459999999999999
0.0,0.0,0.0,0.0,0.0,0.0,13.12
0.0,0.0,0.0,0.0,0.0,0.0,14.78
0.0,0.0,0.0,0.0,0.0,0.0,16.439999999999998
0.0,0.0,0.0,0.0,0.0,0.0,18.099999999999998
0.0,0.0,0.0,0.0,0.0,0.0,19.759999999999998
0.0,0.0,0.0,0.0,0.0,0.0,21.43
0.0,0.0,0.0,0.0,0.0,0.0,23.1
0.0,0.0,0.0,0.0,0.0,0.0,24.770000000000003
0.0,0.0,0.0,0.0,0.0,0.0,26.440000000000005
0.0,0.0,0.0,0.0,0.0,0.0,28.110000000000007
0.0,0.0,0.0,0.0,0.0,0.0,29.78000000000001
0.0,0.0,0.0,0.0,0.0,0.0,31.45000000000001
0.0,0.0,0.0,0.0,0.0,0.0,33.13000000000001
0.0,0.0,0.0,0.0,0.0,0.0,34.81000000000001
0.0,0.0,0.0,0.0,0.0,0.0,36.49000000000001
0.0,0.0,0.0,0.0,0.0,0.0,38.17000000000001
0.0,0.0,0.0,0.0,0.0,0.0,39.85000000000001
0.0,0.0,0.0,0.0,0.0,0.0,41.53000000000001
0.0,0.0,0.0,0.0,0.0,0.0,43.21000000000001
0.0,0.0,0.0,0.0,0.0,0.0,44.89000000000001
0.0,0.0,0.0,0.0,0.0,0.0,46.57000000000001
0.0,0.0,0.0,0.0,0.0,0.0,48.260000000000005
0.0,0.0,0.0,0.0,0.0,0.0,49.95
0.0,0.0,0.0,0.0,0.0,0.0,51.64
0.0,0.0,0.0,0.0,0.0,0.0,53.33
0.0,0.0,0.0,0.0,0.0,0.0,55.019999999999996
0.0,0.0,0.0,0.0,0.0,0.0,56.709999999999994
0.0,0.0,0.0,0.0,0.0,0.0,58.41
0.0,0.0,0.0,0.0,0.0,0.0,60.11
0.0,0.0,0.0,0.0,0.0,0.0,61.81
0.0,0.0,0.0,0.0,0.0,0.0,63.510000000000005
0.0,0.0,0.0,0.0,0.0,0.0,65.21000000000001
